id,title,start_date,end_date,statistics
2185,Words Worth Gaiden,2002-07-25,2002-09-25,"{'status': {'watching': '281', 'completed': '2612', 'on_hold': '153', 'dropped': '173', 'plan_to_watch': '1288'}, 'num_list_users': 4507}"
2186,Maid no Yakata: Zetsubou-hen,2002-09-06,2002-12-13,"{'status': {'watching': '212', 'completed': '1159', 'on_hold': '114', 'dropped': '159', 'plan_to_watch': '922'}, 'num_list_users': 2566}"
2187,Shuudan Chikan Densha,2005-06-10,2005-09-09,"{'status': {'watching': '223', 'completed': '1326', 'on_hold': '118', 'dropped': '150', 'plan_to_watch': '739'}, 'num_list_users': 2556}"
2188,Maid in Heaven SuperS,2005-10-28,2005-11-25,"{'status': {'watching': '652', 'completed': '5456', 'on_hold': '351', 'dropped': '327', 'plan_to_watch': '2244'}, 'num_list_users': 9030}"
2189,Shinseiki Inma Seiden,2001-03-25,2002-10-25,"{'status': {'watching': '316', 'completed': '1195', 'on_hold': '157', 'dropped': '177', 'plan_to_watch': '1217'}, 'num_list_users': 3062}"
2190,Tsubaki-iro no Prigione,2002-06-25,2002-12-21,"{'status': {'watching': '161', 'completed': '874', 'on_hold': '103', 'dropped': '150', 'plan_to_watch': '648'}, 'num_list_users': 1936}"
2191,Waver,2001-09-21,2002-04-25,"{'status': {'watching': '263', 'completed': '2077', 'on_hold': '161', 'dropped': '187', 'plan_to_watch': '1119'}, 'num_list_users': 3807}"
2193,Saiunkoku Monogatari Recaps,2007-03-01,2007-03-24,"{'status': {'watching': '170', 'completed': '2227', 'on_hold': '113', 'dropped': '185', 'plan_to_watch': '2315'}, 'num_list_users': 5010}"
2194,Mejoku,2004-12-10,2005-03-11,"{'status': {'watching': '575', 'completed': '3354', 'on_hold': '234', 'dropped': '234', 'plan_to_watch': '1858'}, 'num_list_users': 6255}"
2195,Heisa Byouin,2003-12-12,2004-03-12,"{'status': {'watching': '284', 'completed': '1680', 'on_hold': '176', 'dropped': '162', 'plan_to_watch': '952'}, 'num_list_users': 3254}"
2196,Genmu Senki Leda,1985-03-01,1985-03-01,"{'status': {'watching': '259', 'completed': '3705', 'on_hold': '110', 'dropped': '132', 'plan_to_watch': '3469'}, 'num_list_users': 7675}"
2198,Aa! Megami-sama! Sorezore no Tsubasa Specials,2007-02-23,2007-02-23,"{'status': {'watching': '465', 'completed': '19438', 'on_hold': '337', 'dropped': '243', 'plan_to_watch': '5315'}, 'num_list_users': 25798}"
2199,Chirin no Suzu,1978-03-11,1978-03-11,"{'status': {'watching': '281', 'completed': '7844', 'on_hold': '152', 'dropped': '136', 'plan_to_watch': '5219'}, 'num_list_users': 13632}"
2200,Muteki Choujin Zanbot 3,1977-10-08,1978-03-25,"{'status': {'watching': '258', 'completed': '2077', 'on_hold': '223', 'dropped': '220', 'plan_to_watch': '2597'}, 'num_list_users': 5375}"
2201,Pokemon Movie 09: Pokemon Ranger to Umi no Ouji Manaphy,2006-07-15,2006-07-15,"{'status': {'watching': '553', 'completed': '81744', 'on_hold': '331', 'dropped': '347', 'plan_to_watch': '5089'}, 'num_list_users': 88064}"
2202,Waga Seishun no Arcadia,1982-07-28,1982-07-28,"{'status': {'watching': '320', 'completed': '5977', 'on_hold': '165', 'dropped': '179', 'plan_to_watch': '4469'}, 'num_list_users': 11110}"
2203,Waga Seishun no Arcadia: Mugen Kidou SSX,1982-10-13,1983-03-30,"{'status': {'watching': '401', 'completed': '3324', 'on_hold': '280', 'dropped': '268', 'plan_to_watch': '3176'}, 'num_list_users': 7449}"
2204,Karakuri Zoushi Ayatsuri Sakon,1999-10-08,2000-03-31,"{'status': {'watching': '687', 'completed': '3835', 'on_hold': '655', 'dropped': '648', 'plan_to_watch': '6351'}, 'num_list_users': 12176}"
2205,Bakuretsu Tenshi: Infinity,2007-03-23,2007-03-23,"{'status': {'watching': '352', 'completed': '10084', 'on_hold': '231', 'dropped': '191', 'plan_to_watch': '5048'}, 'num_list_users': 15906}"
2206,Galaxy Angel Music Collection: Shouen to Shien no Cassoulet,2002-04-25,2002-04-25,"{'status': {'watching': '82', 'completed': '2063', 'on_hold': '66', 'dropped': '86', 'plan_to_watch': '1052'}, 'num_list_users': 3349}"
2207,Hamelin no Violin Hiki: The Movie,1996-04-20,1996-04-20,"{'status': {'watching': '74', 'completed': '1583', 'on_hold': '54', 'dropped': '76', 'plan_to_watch': '970'}, 'num_list_users': 2757}"
2208,Flutter of Birds II: Tenshi-tachi no Tsubasa,2003-05-23,2003-08-22,"{'status': {'watching': '139', 'completed': '917', 'on_hold': '99', 'dropped': '120', 'plan_to_watch': '599'}, 'num_list_users': 1874}"
2209,V.G.Neo The Animation,2004-02-25,2005-01-25,"{'status': {'watching': '299', 'completed': '1915', 'on_hold': '165', 'dropped': '208', 'plan_to_watch': '1433'}, 'num_list_users': 4020}"
2210,Tooi Sekai,1999-02-01,1999-02-01,"{'status': {'watching': '136', 'completed': '14448', 'on_hold': '69', 'dropped': '81', 'plan_to_watch': '2233'}, 'num_list_users': 16967}"
2211,Jumping,1984-06,1984-06,"{'status': {'watching': '68', 'completed': '4008', 'on_hold': '34', 'dropped': '65', 'plan_to_watch': '903'}, 'num_list_users': 5078}"
